Penyakit,Deskripsi
Reaksi Obat,"Reaksi obat adalah cedera yang disebabkan oleh mengonsumsi obat. Reaksi obat dapat terjadi setelah satu dosis atau pemberian obat yang berkepanjangan, atau dapat disebabkan oleh kombinasi dua atau lebih obat."
Malaria,Malaria adalah penyakit menular yang disebabkan oleh parasit protozoa dari keluarga Plasmodium yang dapat ditularkan melalui gigitan nyamuk Anopheles atau melalui jarum atau transfusi yang terkontaminasi. Malaria falciparum adalah jenis yang paling mematikan.
Alergi,"Alergi adalah respons sistem kekebalan tubuh terhadap zat asing yang biasanya tidak berbahaya bagi tubuh Anda. Mereka bisa meliputi makanan tertentu, serbuk sari, atau rambut hewan peliharaan. Tugas sistem kekebalan tubuh Anda adalah menjaga Anda tetap sehat dengan melawan patogen berbahaya."
Hipotiroidisme,"Hipotiroidisme, juga disebut sebagai tiroid kurang aktif atau hipotiroidisme, adalah gangguan sistem endokrin di mana kelenjar tiroid tidak menghasilkan cukup hormon tiroid."
Psoriasis,"Psoriasis adalah gangguan kulit umum yang terbentuk dari bercak merah tebal berlapis-lapis dengan sisik berwarna perak. Mereka bisa muncul di mana saja, tetapi sebagian besar muncul di kulit kepala, siku, lutut, dan bagian bawah punggung. Psoriasis tidak dapat menular dari satu orang ke orang lain. Terkadang terjadi pada anggota keluarga yang sama."
GERD,"Gastroesophageal Reflux Disease atau GERD, adalah gangguan pencernaan yang memengaruhi sfingter esofagus bawah (LES), cincin otot antara kerongkongan dan lambung. Banyak orang, termasuk wanita hamil, menderita sakit maag atau gangguan pencernaan asam akibat GERD."
Chronic cholestasis,"Penyakit kolestasis kronis, baik terjadi pada masa bayi, anak-anak, atau dewasa, ditandai dengan gangguan transpor asam empedu dari hati ke usus, yang disebabkan oleh kerusakan primer pada epitel bilier dalam kebanyakan kasus."
hepatitis A,Hepatitis A adalah infeksi hati yang sangat menular yang disebabkan oleh virus hepatitis A. Virus ini adalah salah satu dari beberapa jenis virus hepatitis yang menyebabkan peradangan dan memengaruhi kemampuan hati Anda untuk berfungsi.
Osteoartristis,"Osteoartritis adalah bentuk paling umum dari arthritis, yang mempengaruhi jutaan orang di seluruh dunia. Ini terjadi ketika kartilago pelindung yang melapisi ujung tulang Anda aus dari waktu ke waktu."
Vertigo Posisional Paroksismal,Vertigo paroksismal benigna adalah salah satu penyebab paling umum dari vertigo — sensasi tiba-tiba bahwa Anda berputar atau bahwa bagian dalam kepala Anda berputar. Vertigo paroksismal benigna menyebabkan episode singkat pusing ringan hingga intens.
Hipoglikemia,Hipoglikemia adalah kondisi di mana kadar gula darah (glukosa) Anda lebih rendah dari normal. Glukosa adalah sumber energi utama tubuh Anda. Hipoglikemia sering terkait dengan pengobatan diabetes. Tetapi obat lain dan berbagai kondisi — banyak yang jarang — dapat menyebabkan kadar gula darah rendah pada orang yang tidak memiliki diabetes.
Jerawat,"Jerawat vulgaris adalah pembentukan komedo, papula, pustula, nodul, dan/atau kista akibat sumbatan dan peradangan unit pilosebaceous (folikel rambut dan kelenjar sebaceous pendampingnya). Jerawat berkembang di wajah dan bagian atas badan. Ini paling sering memengaruhi remaja."
Diabetes,"Diabetes adalah penyakit yang terjadi ketika kadar glukosa darah Anda, juga disebut gula darah, terlalu tinggi. Glukosa darah adalah sumber energi utama tubuh Anda dan berasal dari makanan yang Anda makan. Insulin, hormon yang dibuat oleh pankreas, membantu glukosa dari makanan masuk ke dalam sel-sel Anda untuk digunakan sebagai energi."
Impetigo,"Impetigo adalah infeksi kulit umum dan sangat menular yang terutama memengaruhi bayi dan anak-anak. Impetigo biasanya muncul sebagai luka merah pada wajah, terutama di sekitar hidung dan mulut anak, serta di tangan dan kaki. Luka akan pecah dan berkembang menjadi kerak berwarna madu."
Hipertensi,"Hipertensi (HTN atau HT), juga dikenal sebagai tekanan darah tinggi (HBP), adalah kondisi medis jangka panjang di mana tekanan darah dalam arteri secara persisten meningkat. Tekanan darah tinggi biasanya tidak menimbulkan gejala."
Penyakit Tukak Lambung,"Penyakit tukak lambung (PUD) adalah retakan pada lapisan dalam lambung, bagian pertama usus kecil, atau kadang-kadang kerongkongan bagian bawah. Tukak di lambung disebut tukak lambung, sedangkan yang di bagian pertama usus disebut tukak duodenum."
Hemoroid Dimorfik (Ambeien),"Hemoroid, juga dieja sebagai hemoroid, adalah struktur pembuluh darah di saluran anus. Dalam ... Nama lainnya, Hemoroid, piles, penyakit hemoroid."
Flu Biasa,"Flu biasa adalah infeksi virus pada hidung dan tenggorokan Anda (saluran pernapasan atas). Biasanya tidak berbahaya, meskipun mungkin tidak terasa begitu. Banyak jenis virus yang dapat menyebabkan flu biasa."
Cacar Air,"Campak adalah penyakit sangat menular yang disebabkan oleh virus varisela-zoster (VZV). Ini dapat menyebabkan ruam berupa lepuh yang gatal. Ruam pertama kali muncul di dada, punggung, dan wajah, lalu menyebar ke seluruh tubuh, menyebabkan antara 250 dan 500 lepuh yang gatal."
Spondilosis Serviks,"Spondilosis serviks adalah istilah umum untuk keausan terkait usia yang memengaruhi cakram tulang belakang di leher Anda. Saat cakram mengering dan menyusut, tanda-tanda osteoartritis berkembang, termasuk tonjolan tulang di pinggir tulang (spur tulang)."
Hipertiroidisme,"Hipertiroidisme (tiroid berlebih) terjadi ketika kelenjar tiroid Anda menghasilkan terlalu banyak hormon tiroksin. Hipertiroidisme dapat mempercepat metabolisme tubuh Anda, menyebabkan penurunan berat badan yang tidak disengaja dan detak jantung yang cepat atau tidak teratur."
Infeksi saluran kemih,"Infeksi saluran kemih: Infeksi ginjal, ureter, kandung kemih, atau uretra. Disingkat ISK. Tidak semua orang dengan ISK memiliki gejala, tetapi gejala umum termasuk sering ingin buang air kecil dan nyeri atau sensasi terbakar saat buang air kecil."
Varises,"Vena yang membesar dan melilit, sering muncul sebagai pembuluh darah biru yang menonjol dan jelas terlihat melalui kulit. Varises paling umum terjadi pada orang dewasa yang lebih tua, terutama wanita, dan terutama terjadi di kaki."
AIDS,"Acquired immunodeficiency syndrome (AIDS) adalah kondisi kronis, berpotensi mengancam jiwa yang disebabkan oleh virus immunodefisiensi manusia (HIV). Dengan merusak sistem kekebalan tubuh Anda, HIV mengganggu kemampuan tubuh Anda untuk melawan infeksi dan penyakit."
Kelumpuhan (perdarahan otak),"Pendarahan intraserebral (ICH) terjadi ketika darah tiba-tiba pecah ke jaringan otak, menyebabkan kerusakan pada otak Anda. Gejalanya biasanya muncul secara tiba-tiba selama ICH. Mereka termasuk sakit kepala, kelemahan, kebingungan, dan paralisis, terutama pada satu sisi tubuh Anda."
Tifoid,"Penyakit akut yang ditandai dengan demam yang disebabkan oleh infeksi bakteri Salmonella typhi. Demam tifoid memiliki awal yang licin, dengan demam, sakit kepala, sembelit, malaise, kedinginan, dan nyeri otot. Diare jarang terjadi, dan muntah biasanya tidak parah."
Hepatitis B,"Hepatitis B adalah infeksi hati Anda. Ini dapat menyebabkan parut pada organ tersebut, kegagalan hati, dan kanker. Ini bisa fatal jika tidak diobati. Penyebaran terjadi ketika orang berkontak dengan darah, luka terbuka, atau cairan tubuh dari seseorang yang memiliki virus hepatitis B."
Infeksi Jamur,"Pada manusia, infeksi jamur terjadi ketika jamur yang menyerang mengambil alih suatu area tubuh dan jumlahnya terlalu banyak sehingga tidak dapat ditangani oleh sistem kekebalan tubuh.  Jamur dapat hidup di udara, tanah, air, dan tumbuhan.  Ada juga beberapa jamur yang hidup secara alami di tubuh manusia.  Seperti kebanyakan mikroba, ada jamur bermanfaat dan jamur berbahaya."
Hepatitis C,"Peradangan hati akibat virus hepatitis C (HCV), yang biasanya menyebar melalui transfusi darah (jarang), hemodialisis, dan tusukan jarum suntik.  Kerusakan yang disebabkan oleh hepatitis C pada hati dapat menyebabkan sirosis dan komplikasinya serta kanker."
Migrain,"Migrain dapat menyebabkan nyeri berdenyut parah atau sensasi berdenyut, biasanya pada satu sisi kepala.  Seringkali disertai mual, muntah, dan kepekaan ekstrem terhadap cahaya dan suara.  Serangan migrain bisa berlangsung berjam-jam hingga berhari-hari, dan rasa sakitnya bisa sangat parah hingga mengganggu aktivitas sehari-hari."
Asma Bronkial,"Asma bronkial adalah suatu kondisi medis yang menyebabkan saluran napas paru-paru membengkak dan menyempit.  Akibat pembengkakan ini, saluran udara menghasilkan lendir berlebih sehingga sulit bernapas, sehingga mengakibatkan batuk, napas pendek, dan mengi.  Penyakit ini bersifat kronis dan mengganggu pekerjaan sehari-hari."
Hepatitis Alkoholik,"Hepatitis alkoholik adalah penyakit peradangan hati yang disebabkan oleh konsumsi alkohol dalam jumlah besar dalam jangka waktu lama.  Hal ini juga diperburuk oleh pesta minuman keras dan penggunaan alkohol terus-menerus.  Jika Anda mengalami kondisi ini, Anda harus berhenti minum alkohol"
Jaundice (penyakit kuning),"Pewarnaan kuning pada kulit dan sklera (bagian putih mata) disebabkan oleh tingginya kadar pigmen empedu bilirubin dalam darah.  Menguningnya meluas ke jaringan lain dan cairan tubuh.  Penyakit kuning pernah disebut sebagai ""morbus regius"" (penyakit agung) karena kepercayaan bahwa hanya sentuhan seorang raja yang dapat menyembuhkannya."
Hepatitis E,Suatu bentuk peradangan hati langka yang disebabkan oleh infeksi virus hepatitis E (HEV).  Penyakit ini ditularkan melalui makanan atau minuman yang ditangani oleh orang yang terinfeksi atau melalui persediaan air yang terinfeksi di daerah di mana kotoran dapat masuk ke dalam air.  Hepatitis E tidak menyebabkan penyakit hati kronis.
Demam Berdarah,"penyakit menular akut yang disebabkan oleh flavivirus (spesies virus Dengue dari genus Flavivirus), ditularkan oleh nyamuk aedes, dan ditandai dengan sakit kepala, nyeri sendi yang parah, dan ruam.  â€” disebut juga demam patah tulang, demam berdarah."
Hepatitis D,"Hepatitis D, juga dikenal sebagai virus hepatitis delta, adalah infeksi yang menyebabkan peradangan pada hati.  Pembengkakan ini dapat mengganggu fungsi hati dan menyebabkan masalah hati jangka panjang, termasuk jaringan parut pada hati dan kanker.  Kondisi ini disebabkan oleh virus hepatitis D (HDV)."
Serangan Jantung,"Kematian otot jantung akibat hilangnya suplai darah.  Hilangnya suplai darah biasanya disebabkan oleh penyumbatan total pada arteri koroner, salah satu arteri yang memasok darah ke otot jantung."
Pneumonia,"Pneumonia adalah infeksi pada salah satu atau kedua paru-paru.  Bakteri, virus, dan jamur menyebabkannya.  Infeksi ini menyebabkan peradangan pada kantung udara di paru-paru Anda, yang disebut alveoli.  Alveoli terisi cairan atau nanah, sehingga sulit bernapas."
Artritis,"Artritis adalah pembengkakan dan nyeri tekan pada satu atau lebih sendi Anda.  Gejala utama arthritis adalah nyeri dan kekakuan sendi, yang biasanya memburuk seiring bertambahnya usia.  Jenis radang sendi yang paling umum adalah osteoartritis dan artritis reumatoid."
Gastroenteritis,"Gastroenteritis adalah peradangan pada saluran pencernaan, khususnya lambung, serta usus besar dan kecil.  Gastroenteritis virus dan bakteri adalah infeksi usus yang berhubungan dengan gejala diare, kram perut, mual, dan muntah."
Tuberkulosis,"Tuberkulosis (TB) merupakan penyakit menular yang biasanya disebabkan oleh bakteri Mycobacterium tuberkulosis (MTB).  Tuberkulosis umumnya menyerang paru-paru, namun bisa juga menyerang bagian tubuh lainnya.  Kebanyakan infeksi tidak menunjukkan gejala, sehingga dikenal sebagai tuberkulosis laten."
